ID,TotalReplies,TotalResponses,TotalPosts,AverageWordsPerPost,LikeRate,QuestionsAsked,URLSharing,MeanPostsPerThread,ConversationInitiationRate,PostingDiversity,BidirectionalNetwork
390,4,3,4,74,0.25,0.5,0,1.333333,0.333333,4,0.166667
391,1,1,2,32,1,0,0,1,0.5,2,0
392,0,1,1,4,0,0,0,1,0,1,0
393,161,211,632,128,1.651899,0.219937,0.083861,3.067961,0.048544,33.263158,0.482072
394,19,21,35,66,0.2,0.571429,0.057143,2.5,0,11.666667,0.290323
395,36,35,51,38,0.196078,0.215686,0.058824,1.214286,0.02381,5.1,0.109375
396,8,5,9,145,0,0.222222,0.111111,4.5,1,4.5,0.444444
397,6,4,11,701,0,0.272727,0.454545,1.571429,0.285714,3.666667,0.25
398,12,7,13,35,0.153846,0.461538,0,2.166667,0.166667,6.5,0.1875
399,19,15,20,44,0.2,0.2,0,1.176471,0.117647,3.333333,0.214286
400,6,2,5,124,0,0.4,0,5,1,5,0.333333
401,19,17,22,80,1.227273,0.181818,0,3.666667,0.333333,7.333333,0.241379
402,4,2,3,83,0.333333,0.666667,0,1,0.333333,1.5,0.2
403,12,7,14,53,2.142857,0.214286,0,4.666667,1,7,0.357143
404,19,17,29,207,0.310345,0.206897,0.034483,2.9,0.3,9.666667,0.285714
405,1,1,1,51,0,1,0,1,0,1,0
406,14,13,22,42,1.272727,0,0.045455,1.157895,0.315789,2.444444,0.125
407,23,18,39,83,1.076923,0.102564,0.076923,1.857143,0.52381,4.875,0.322581
408,2,4,4,19,0.25,0,0,1,0,4,0
409,4,3,6,31,0.166667,0.5,0,2,1,6,0.166667
410,115,118,221,82,1.054299,0.497738,0.00905,1.503401,0.020408,18.416667,0.412121
411,6,5,6,145,0.333333,0.333333,0,1,0.166667,2,0
412,9,8,18,201,0.277778,0.111111,0,1.5,0.666667,4.5,0.214286
413,5,9,5,19,0,0,0,1,0,5,0.272727
414,8,14,12,48,0.583333,0.333333,0,1.333333,0,4,0.222222
415,11,7,70,104,0.185714,0.414286,0.157143,1.794872,0.923077,14,0.285714
416,3,3,4,269,2.5,0,0.25,2,0,2,0.2
417,103,143,563,91,0.776199,0.207815,0.030195,3.453988,0.319018,80.428571,0.455621
418,6,3,7,2008,0,0.428571,0,7,0,7,0.5
419,85,85,156,146,1.269231,0.333333,0.064103,1.544554,0.09901,7.8,0.338583
420,4,4,5,66,0.4,0.2,0,1.25,0,5,0.6
421,59,64,109,46,0.779817,0.266055,0.009174,2.018519,0.055556,9.909091,0.336957
422,6,4,8,52,0,0.25,0.125,1.6,0.4,2,0
423,5,3,6,53,0.5,0.333333,0,2,0.666667,2,0.142857
424,3,0,42,0,0.047619,0,0,1.02439,1,21,0
425,3,1,3,67,0,0,0.333333,1,0.666667,1.5,0
426,3,3,4,51,0,0.75,0.5,2,0,2,0.2
427,1,1,1,101,0,0,0,1,0,1,0
428,89,77,126,107,0.912698,0.246032,0.047619,1.2,0.095238,10.5,0.349593
429,55,60,88,58,0.761364,0.227273,0.068182,1.795918,0.142857,12.571429,0.277778
430,33,39,68,194,0.470588,0.308824,0.073529,2.125,0.09375,8.5,0.285714
431,47,55,75,86,0.626667,0.426667,0.026667,1.5625,0.0625,8.333333,0.36
432,15,17,20,223,0.3,0.7,0,2.222222,0.111111,5,0.391304
433,114,124,316,87,0.781646,0.306962,0.037975,2.051948,0.12987,24.307692,0.515924
434,24,30,33,31,0.757576,0.272727,0.030303,1.178571,0.035714,4.714286,0.2
435,1,0,2,216,0,0,0,1,1,2,0
436,34,38,51,23,0.215686,0.196078,0.019608,1.645161,0.225806,7.285714,0.384615
437,68,74,105,92,0.619048,0.133333,0.009524,2.142857,0.102041,15,0.327103
438,5,6,10,10,0,0,0,1.25,0,2.5,0
439,2,2,2,23,3.5,0,0,1,0,2,0
440,15,16,20,79,0.6,0.3,0,1.333333,0.066667,5,0.107143
441,2,1,3,167,1,0,0.333333,1,0.666667,1,0
442,11,11,15,11,0,0,0,1.153846,0,15,0.1
443,2,2,10,290,0.2,0.4,0.8,1.25,0.875,10,0.333333
444,1,1,2,806,0,0.5,0.5,2,1,2,1
445,8,7,7,56,0.857143,0,0,2.333333,0.333333,2.333333,0.25
446,19,12,28,54,0.107143,0.357143,0,2.333333,0.25,4,0.347826
447,1,1,3,212,2,1,0.333333,1.5,0.5,1,0
448,212,237,793,35,0.643127,0.290038,0.020177,2.160763,0.073569,44.055556,0.542955
449,2,2,2,168,0.5,0.5,0,1,0,2,0
450,1,0,2,127,0,0,1,2,1,2,0
451,1,1,1,183,0,1,0,1,0,1,0
452,5,3,4,51,0,0,0,1,0.25,1.333333,0.333333
453,8,9,12,15,0.75,0.333333,0,3,0.25,4,0.0625
454,7,8,5,55,1.6,0,0,1,0,1.666667,0.153846
455,2,1,4,47,0,0.25,0,1.333333,1,2,0.5
456,1,1,1,7,0,0,0,1,0,1,0
457,41,43,93,291,2.172043,0.27957,0.053763,2.384615,0.435897,11.625,0.333333
458,28,35,36,84,0.611111,0.055556,0,1.44,0.04,3.272727,0.26
459,1,1,2,64,0.5,0.5,0,1,0.5,1,0
460,53,63,103,44,1.582524,0.339806,0.019417,1.514706,0.044118,8.583333,0.333333
461,6,3,8,96,0,0.625,0,2.666667,1,4,0.125
462,10,10,9,31,0.777778,0.222222,0,1,0,1.8,0
463,96,91,159,81,0.880503,0.320755,0.031447,1.766667,0.1,15.9,0.438462
464,22,21,20,12,0.3,0.15,0,1.052632,0,2.857143,0.228571
465,5,5,5,31,0,1,0,1.666667,0,2.5,0.428571
466,60,53,81,179,1.123457,0.271605,0.074074,1.372881,0.186441,8.1,0.269663
467,193,212,738,162,1.132791,0.457995,0.017615,2.66426,0.083032,46.125,0.613546
468,2,1,2,24,0,0,0,2,0,2,0
469,0,1,1,5,0,0,0,1,0,1,0
470,66,64,128,57,1.515625,0.273438,0.039063,2.245614,0.192982,10.666667,0.428571
471,2,0,2,156,3,1,0,1,1,1,0
472,20,25,43,304,1.465116,0.418605,0.023256,2.866667,0,5.375,0.184211
473,91,113,173,337,1.543353,0.34104,0.023121,1.712871,0.049505,15.727273,0.369128
474,2,1,3,921,0,0.666667,0,1.5,0,3,0.5
475,1,2,1,24,0,0,1,1,0,1,0
476,3,3,4,193,0,0.25,0,4,0,4,0.5
477,5,5,4,223,0.75,0.5,0,1.333333,0,1.333333,0.25
478,36,55,66,87,0.045455,0.242424,0.030303,2.129032,0,16.5,0.421875
479,4,1,15,66,0.466667,0,0,1,0.933333,3.75,0
480,228,223,1006,113,0.736581,0.190855,0.04672,2.144989,0.373134,59.176471,0.560554
481,12,12,16,97,0.4375,0.625,0,5.333333,1,8,0.411765
482,2,1,2,190,3.5,0.5,0.5,2,1,2,0.5
483,7,6,7,98,1,0,0.142857,1.166667,0.166667,1.75,0.083333
484,4,5,6,39,0,0.166667,0,1.5,0,1.5,0
485,2,3,3,109,0,0.333333,0.333333,1,0.333333,3,0
486,18,18,24,80,2.625,0.208333,0,1.411765,0.176471,4,0.2
487,23,11,13,36,0.153846,0.307692,0,2.166667,0,13,0.096774
488,144,159,617,303,1.141005,0.497569,0.136143,5.609091,0.181818,41.133333,0.522613
489,2,0,4,56,0.25,0,0.75,1.333333,0.666667,2,0
490,1,0,1,1005,0,0,0,1,1,1,0
491,2,0,4,248,0.75,0,0,1,1,4,0
492,46,50,171,54,0.005848,0.625731,0.011696,8.142857,0,171,0.5
493,2,3,3,186,0.666667,0.333333,0,1,0,3,0.666667
494,119,127,250,67,1.572,0.184,0.028,2.04918,0.114754,16.666667,0.464286
495,2,3,2,53,0,0,0.5,2,0,2,0.25
496,29,31,37,11,0.324324,0.027027,0,1.088235,0,3.7,0.153846
497,40,49,66,86,0.439394,0.393939,0.045455,1.609756,0.121951,6,0.348485
498,1,0,3,351,0,0.333333,0,1,1,3,0
499,12,14,13,127,0.230769,0.538462,0,1.857143,0,6.5,0.3
500,21,15,32,382,1.5625,0.25,0.09375,2.133333,0.666667,16,0.16129
501,6,5,6,270,0.833333,0.5,0.166667,1.5,0,1.5,0.222222
502,35,39,51,41,0.490196,0.098039,0.039216,1.342105,0.184211,7.285714,0.174603
503,4,3,4,134,0,0.5,0,2,0,2,0.166667
504,1,1,2,173,0,0.5,0.5,1,0.5,2,0
505,7,2,4,145,1.5,0,0,1.333333,0.666667,4,0
506,1,0,1,128,0,0,0,1,1,1,0
507,30,16,24,118,0.166667,0.166667,0,2.4,0.5,24,0.352941
508,16,16,19,65,0.578947,0.263158,0.105263,1.1875,0,2.714286,0.185185
509,3,1,6,31,0,0,0.166667,1.2,1,3,0
510,15,10,17,46,0.647059,0.294118,0,1.416667,0.5,3.4,0.086957
511,21,25,27,128,0.703704,0.259259,0.037037,1.6875,0,4.5,0.314286
512,1,2,1,91,0,0,0,1,0,1,0
513,82,98,200,67,0.41,0.21,0.015,1.941748,0.116505,18.181818,0.551724
514,6,8,10,66,0.2,0.5,0,1.111111,0,3.333333,0.166667
515,29,19,68,238,1.294118,0.235294,0.029412,1.658537,0.560976,17,0.263158
516,61,70,187,194,0.256684,0.417112,0.032086,2.460526,0.065789,46.75,0.43956
517,4,4,6,284,0.333333,0.666667,0.166667,6,0,6,0.6
518,164,198,562,81,0.866548,0.393238,0,2.824121,0.005025,35.125,0.540426
519,3,3,3,89,0,0,0,1.5,0,3,0.2
520,49,65,105,284,0.52381,0.314286,0.104762,2.234043,0.042553,7.5,0.341176
521,3,1,2,91,0.5,0,0,2,1,2,0.333333
522,6,5,14,34,0.428571,0.142857,0.071429,2.333333,1,2.8,0.571429
523,96,81,212,112,0.377358,0.301887,0.037736,2.231579,0.315789,21.2,0.404762
524,2,1,2,66,0,1,0,1,0.5,2,0
525,27,34,38,34,0.894737,0.526316,0,1.310345,0,9.5,0.244898
526,3,3,40,58,0.025,0.05,0.25,2.857143,0.785714,20,0.2
527,3,5,4,28,1.25,0.25,0,1.333333,0.333333,2,0.142857
528,42,45,192,44,0.078125,0.395833,0.020833,14.769231,0.230769,32,0.611111
529,0,1,2,50,0.5,0.5,0,2,0,2,0
530,15,16,16,68,0.5,0.1875,0,1.454545,0,5.333333,0.148148
531,11,16,21,66,0.238095,0.285714,0,1.615385,0.230769,3.5,0.227273
532,1,2,3,206,0,0,0,1.5,0,3,0.5
533,36,44,73,74,0,0.589041,0,6.636364,0,73,0.632653
534,55,59,83,41,0.337349,0.192771,0,1.257576,0.030303,6.384615,0.23913
535,1,0,2,17,0.5,0,0,1,1,2,0
536,7,8,10,6,0,0,0,1,0,5,0.071429
537,1,2,2,29,0,0,0,1,0,1,0
538,10,12,11,32,0,0.090909,0,11,0,11,0.375
539,47,40,95,209,2.2,0.168421,0.105263,1.826923,0.365385,5.9375,0.359375
540,1,1,3,26,0.333333,0.666667,0,1.5,0,1.5,0
541,7,4,6,92,1.5,0.333333,0,2,0,3,0.1
542,128,144,377,203,2.222812,0.342175,0.013263,4.284091,0.068182,26.928571,0.52809
543,15,18,31,47,0.451613,0.258065,0.129032,1.722222,0.277778,15.5,0.222222
544,1,1,5,82,0,0,0.6,1.666667,0.666667,2.5,0
545,8,8,13,430,0.153846,0.692308,0.076923,2.166667,0,4.333333,0.454545
546,3,2,3,76,0.666667,0.333333,0,1.5,0,3,0.25
547,5,3,9,98,0.444444,0.111111,0,1.285714,0.857143,3,0.142857
548,1,1,1,76,2,1,0,1,0,1,1
549,6,5,16,465,0.125,0.1875,0.5,1.333333,0.666667,5.333333,0.222222
550,1,0,8,145,0,0,0.25,2.666667,1,8,0
551,2,1,9,126,1.111111,0.444444,0.111111,1.8,0.6,3,0.5
552,32,43,61,141,0.655738,0.229508,0.016393,1.386364,0.045455,61,0.229508
553,17,16,20,141,0,0.1,0.05,1.818182,0.272727,20,0.137931
554,3,1,2,488,3,1,0,2,1,2,0.333333
555,12,12,46,72,0,0.347826,0,46,0,46,0.846154
556,1,3,3,123,0,0,0,3,0,3,0
557,4,2,12,155,0.25,0.25,0,1.5,1,6,0.5
558,76,85,122,69,0.647541,0.188525,0.008197,1.402299,0.022989,15.25,0.463636
559,144,143,584,104,0.357877,0.320205,0.10274,3.518072,0.451807,73,0.603352
560,6,2,6,32,0.166667,0.666667,0,1.5,0.25,3,0.142857
561,7,8,9,13,0.333333,0.111111,0,1.5,0,9,0.25
562,3,6,6,34,0,0.166667,0.166667,1.2,0,6,0
563,2,4,5,64,0,0.4,0,1.666667,0,2.5,0
564,12,9,18,65,0.111111,0.5,0.055556,4.5,0.5,9,0.3125
565,1,1,2,11,1.5,0,0,2,1,2,1
566,1,2,4,105,0.25,0,0.25,1,0.25,1,0
567,1,1,3,21,1.666667,0,0,1,0.666667,1.5,0
568,8,8,11,148,1.727273,0.181818,0,5.5,0.5,11,0.454545
569,1,1,1,11,2,0,0,1,0,1,1
570,20,26,30,188,1.9,0.2,0.066667,1.428571,0.047619,3,0.210526
571,4,2,4,8,1.5,0,0.25,1,0,1,0.2
572,53,64,86,268,1,0.383721,0,1.131579,0.039474,8.6,0.285714
573,118,128,367,42,0.438692,0.356948,0.043597,2.146199,0.116959,21.588235,0.490909
574,144,165,431,62,1.192575,0.341067,0.013921,1.882096,0.0131,28.733333,0.522167
575,2,0,4,25,0,0.25,0,1,0,1.333333,0
576,5,5,10,20,0,0,0,5,0.5,5,0.428571
577,1,0,1,133,0,1,1,1,1,1,0
578,2,2,5,65,0.2,0,0,1.666667,0.666667,2.5,0
579,63,59,103,75,0.466019,0.116505,0.019417,1.337662,0.272727,9.363636,0.297872
580,2,3,8,77,0,0.125,0,1.6,0.6,4,0.25
581,205,220,983,77,0.475076,0.378433,0.018311,2.482323,0.111111,57.823529,0.59176
582,26,32,217,45,0.032258,0.110599,0.041475,9.863636,0.227273,54.25,0.26087
583,9,15,14,701,0.714286,0.214286,0.142857,1.272727,0.090909,2.8,0.142857
584,7,10,11,88,0.181818,0.272727,0.090909,1.571429,0,11,0.214286
585,5,4,5,354,1.4,0.4,0,5,1,5,0.125
586,23,20,45,143,0.288889,0.266667,0,4.5,0,9,0.34375
587,22,20,23,67,0.913043,0.347826,0,1.352941,0,3.833333,0.235294
588,2,0,1,44,1,0,1,1,1,1,0
589,18,17,23,28,0.086957,0.130435,0,1.210526,0.105263,3.833333,0.129032
590,1,1,3,0,0,0,0,1,0.666667,3,0
591,54,54,156,96,0.038462,0.371795,0.00641,6.24,0.4,26,0.479452
592,1,2,2,6,0.5,0,0,1,0,1,0
593,16,17,23,41,1.217391,0,0.086957,1.4375,0.0625,2.555556,0.178571
594,13,10,35,61,0.314286,0.171429,0,1.666667,0.904762,8.75,0.4375
595,2,1,1,2,1,0,0,1,0,1,0.5
596,2,2,1,72,0,0,0,1,0,1,0
597,25,17,46,123,0.217391,0.5,0.043478,2.705882,0.294118,11.5,0.4
598,36,36,41,47,0.390244,0.243902,0.02439,1.28125,0.15625,3.416667,0.263158
599,82,69,163,37,0.312883,0.306748,0.030675,2.202703,0.243243,13.583333,0.411215
600,1,1,10,8,0,0,0.1,3.333333,0.666667,5,1
601,2,3,4,54,0,0.25,0,4,1,4,0.25
602,38,30,64,218,1.0625,0.296875,0.265625,1.684211,0.447368,32,0.36
603,2,0,2,416,0,1,0.5,1,1,1,0
604,4,4,8,199,1.25,0.625,0.125,2,0.5,4,0.333333
605,54,52,80,27,0.675,0.2125,0.0125,1.509434,0.018868,7.272727,0.325
606,11,4,18,299,0.777778,0.222222,0.055556,1.384615,1,6,0.153846
607,17,17,22,30,0.181818,0.272727,0,1.833333,0,5.5,0.36
608,2,0,2,150,0.5,0.5,0,1,1,2,0
609,2,3,3,66,0.333333,0.333333,0,1,0,3,0
610,22,23,34,27,0.264706,0.088235,0,1.259259,0.037037,6.8,0.25
611,44,42,82,33,0.439024,0.219512,0.036585,1.344262,0.409836,11.714286,0.246377
612,4,3,6,78,1,0.833333,0,1.2,0.6,2,0
613,43,34,133,141,0.052632,0.323308,0.030075,7.823529,0.058824,19,0.480769
614,98,101,504,109,0.769841,0.170635,0.029762,4.2,0.666667,36,0.519084
615,2,1,2,487,16,1,0,1,0.5,1,0
616,48,60,108,58,0.166667,0.055556,0.074074,1.048544,0.213592,7.714286,0.213483
617,30,18,23,83,1.869565,0.086957,0,1.277778,0.111111,2.875,0.170732
618,53,63,103,80,0.291262,0.339806,0.029126,2.191489,0.042553,9.363636,0.526316
619,7,2,7,135,0.285714,0.428571,0.142857,1.75,1,2.333333,0.285714
620,22,20,34,27,0.323529,0.411765,0,3.090909,0,8.5,0.354839
621,11,11,15,66,0.266667,0.266667,0.066667,1.5,0.2,3,0.294118
622,0,5,7,34,0,0.142857,0,1.75,0,3.5,0
623,18,13,29,289,0,0.586207,0.034483,3.625,0.25,7.25,0.192308
624,3,2,3,219,2.666667,0,0,1,0.333333,3,0
625,10,9,11,104,0.909091,0.090909,0.181818,3.666667,0,5.5,0.357143
626,1,3,2,157,0,0.5,0,1,0,2,0.333333
627,2,2,4,848,0,0.25,0.25,1,0.5,2,0
628,35,40,81,164,0.308642,0.740741,0.049383,5.0625,0.375,16.2,0.442308
629,76,91,145,25,0.868966,0.193103,0.013793,1.318182,0.009091,9.666667,0.391667
630,54,61,103,310,0.980583,0.514563,0,3.322581,0.096774,9.363636,0.419753
631,92,95,184,117,0.673913,0.347826,0.021739,1.614035,0.157895,12.266667,0.427481
632,25,34,31,109,0.580645,0.548387,0,1.722222,0,15.5,0.311111
633,2,0,3,441,0,0.333333,0,1,0.333333,1.5,0
634,1,1,2,66,0,0,0,2,1,2,1
635,10,8,5,65,0,0.2,0,5,0,5,0.5
636,26,34,35,150,2.6,0.257143,0,1.25,0.071429,3.5,0.25
637,2,3,5,340,1,0.2,0.4,1,0.2,1.666667,0.25
638,1,3,4,70,0,0,0,1.333333,0,2,0
639,2,2,12,176,0.083333,0,0.916667,1.090909,0.909091,12,0.333333
640,9,6,8,16,0.5,0.5,0.125,2,0.5,4,0.25
641,1,1,4,511,0,0.75,0.25,2,1,2,1
642,1,1,1,17,0,0,0,1,0,1,0
643,2,2,5,25,0,0.6,0,2.5,1,5,1
644,39,41,79,95,0.924051,0.35443,0,1.926829,0.195122,15.8,0.454545
645,27,30,40,55,0.95,0.25,0.1,1.428571,0.107143,13.333333,0.1875
646,1,1,2,118,0.5,0.5,0.5,1,0,2,0
647,62,53,106,166,0.518868,0.396226,0.009434,1.79661,0.305085,9.636364,0.292135
648,1,0,1,146,0,0,0,1,1,1,0
649,1,0,4,398,0,0.25,0.75,1.333333,1,4,0
650,8,9,10,68,0.3,0.2,0,1,0.1,2.5,0.133333
651,5,3,11,626,1.818182,0.181818,0.181818,2.2,0.8,11,0.6
652,7,12,16,34,0,0.75,0,4,0.25,5.333333,0.461538
653,17,16,28,52,0.428571,0.035714,0,1.166667,0,2.8,0.1
654,8,8,9,67,0.111111,0.222222,0,1.125,0,1.5,0.066667
655,0,1,13,198,0,0.307692,0.692308,2.166667,0.833333,13,0
656,1,1,3,82,0,0,0,1.5,1,1.5,0
657,49,50,71,28,1,0.338028,0.014085,1.731707,0.073171,6.454545,0.394366
658,74,81,134,33,0.567164,0.291045,0,1.576471,0.011765,10.307692,0.371681
659,9,11,14,36,0.785714,0.142857,0,1.4,0,14,0.176471
660,57,55,81,85,0.296296,0.308642,0.012346,2.25,0,9,0.382716
661,122,132,333,91,0.597598,0.495495,0.027027,2.030488,0.030488,25.615385,0.476744
662,8,4,19,139,0.315789,0.210526,0.526316,1.357143,0.857143,9.5,0.333333
663,32,38,73,306,1.630137,0.356164,0,1.921053,0.105263,5.615385,0.272727
664,6,6,6,27,0.666667,0.166667,0,2,0.333333,3,0.2
665,19,19,25,22,1.28,0.24,0,1.470588,0.294118,5,0.225806
666,1,1,1,30,4,0,0,1,0,1,0
667,2,0,2,118,0,0,1,1,1,1,0
668,1,1,1,51,0,0,0,1,0,1,1
669,16,14,18,157,1.944444,0.222222,0.111111,1.636364,0.181818,3.6,0.428571
670,4,5,26,129,0.307692,0.038462,0.307692,2.888889,0.222222,8.666667,0.285714
671,29,31,50,34,0.16,0.12,0.02,1.724138,0,25,0.25
672,169,174,727,55,0.463549,0.320495,0.02751,3.826316,0.152632,48.466667,0.617925
673,11,12,19,41,1.263158,0.105263,0,6.333333,0,9.5,0.352941
674,2,2,2,17,0,1,0,1,0,2,0
675,152,141,387,179,1.374677,0.307494,0.03876,2.374233,0.092025,35.181818,0.510309
676,19,13,26,108,0.538462,0.076923,0.192308,1.181818,0.454545,8.666667,0.142857
677,18,19,35,133,0.714286,0.628571,0,2.692308,0.076923,8.75,0.275862
678,1,2,2,17,1,0.5,0,1,0,2,0
679,4,3,4,146,0,0.25,0,1.333333,0,4,0.166667
680,1,0,1,0,0,0,0,1,1,1,0
681,9,10,10,41,0.7,0.3,0,1.428571,0,2.5,0.117647
682,10,9,18,26,0.333333,0,0,2.25,0.625,4.5,0.266667
683,153,155,322,19,0.537267,0.270186,0.012422,1.4,0.047826,20.125,0.439252
684,46,51,107,60,0.336449,0.158879,0.28972,1.910714,0.089286,26.75,0.25974
685,5,3,5,90,0,0.8,0,5,1,5,0.333333
686,0,1,1,130,0,0,0,1,0,1,0
687,60,54,124,169,0.056452,0.403226,0.024194,3.351351,0.216216,41.333333,0.52
688,1,1,1,92,0,0,0,1,0,1,0
689,28,35,42,185,0.428571,0.309524,0.071429,2.333333,0,6,0.3125
690,181,200,569,372,1.811951,0.474517,0.043937,1.847403,0.097403,33.470588,0.488281
691,11,11,11,41,0.818182,0,0,1.833333,0,11,0.294118
692,14,10,16,90,0.5625,0.375,0.0625,1.454545,0.363636,4,0.411765
693,22,21,41,182,0.04878,0.121951,0.04878,3.416667,0.083333,41,0.433333
694,12,12,15,311,0.266667,0.533333,0,3,0,5,0.333333
695,2,0,3,48,0,0,1,1.5,0.5,1.5,0
696,7,8,8,22,0,0.25,0,1.333333,0.166667,2.666667,0.363636
697,85,97,146,94,1.452055,0.431507,0.013699,1.717647,0.047059,10.428571,0.358209
698,3,2,4,346,0.25,0.75,0,2,0.5,4,0.25
699,1,0,1,22,0,1,0,1,1,1,0
700,3,2,9,44,0.555556,0.111111,0.333333,1.5,0.666667,4.5,0
701,110,113,222,51,0.585586,0.436937,0.031532,1.707692,0.1,18.5,0.420382
702,9,5,11,612,0.181818,0.363636,0,1.571429,0.571429,1.833333,0.272727
703,3,1,3,15,0,0,0.333333,1,0.666667,1.5,0
704,19,15,21,200,1,0.285714,0.095238,1.615385,0.230769,3.5,0.36
705,65,45,74,107,1.094595,0.337838,0.054054,1.804878,0.195122,6.727273,0.341463
706,14,12,26,118,0.269231,0.423077,0,3.714286,0,26,0.368421
707,111,92,404,88,0.242574,0.173267,0.009901,1.779736,0.651982,101,0.514925
708,1,1,1,4,1,1,0,1,0,1,0
709,1,1,3,85,0.333333,0,0.666667,1.5,0.5,1.5,0
710,17,20,23,80,3.086957,0.086957,0.043478,1.045455,0.272727,3.285714,0.088235
711,114,125,268,96,1.011194,0.287313,0.037313,2.371681,0.070796,24.363636,0.532051
712,1,1,1,5,1,0,0,1,0,1,0
713,190,202,651,98,0.672811,0.308756,0.056836,2.411111,0.177778,50.076923,0.507692
714,13,12,14,26,0.642857,0.214286,0,1.166667,0.083333,2.333333,0.136364
715,16,15,23,59,0.913043,0.304348,0.043478,1.769231,0.230769,23,0.192308
716,3,5,4,114,0.25,0.75,0,1,0,1,0
717,14,26,29,31,0.137931,0.103448,0,1.208333,0.083333,4.142857,0.111111
718,30,30,123,52,0.406504,0.308943,0.04878,4.92,0.48,20.5,0.5
719,180,169,502,70,1.410359,0.330677,0.083665,2.032389,0.222672,26.421053,0.551111
720,31,39,45,86,1.333333,0.355556,0,1.5,0,4.5,0.372549
721,262,289,1220,57,1.377049,0.310656,0.010656,2.729306,0.042506,64.210526,0.630178
722,5,8,7,22,0.714286,0,0,1.166667,0,3.5,0
723,4,5,4,221,1.25,0.25,0,1,0,1.333333,0.125
724,3,3,3,29,0.333333,0.333333,0,1.5,0,1.5,0.2
725,35,34,55,151,0.945455,0.709091,0.036364,1.964286,0.035714,7.857143,0.352941
726,178,207,656,43,0.807927,0.147866,0.018293,2.954955,0.022523,46.857143,0.552419
727,1,0,1,119,0,1,1,1,1,1,0
728,1,0,1,17,1,0,0,1,0,1,0
729,9,11,10,66,0.5,0.6,0.1,1.111111,0,5,0.052632
730,3,3,4,38,0.25,0,0,1.333333,0,4,0
731,141,126,374,95,0.818182,0.221925,0.040107,1.958115,0.382199,24.933333,0.483333
732,2,2,2,789,5,0,0,1,0,1,0
733,98,75,244,49,1.659836,0.081967,0.127049,1.574194,0.632258,18.769231,0.341085
734,132,136,410,105,1.056098,0.036585,0.043902,2,0.268293,27.333333,0.472527
735,116,109,221,95,0.393665,0.429864,0.045249,1.513699,0.232877,14.733333,0.363636
736,4,1,3,21,2,0,0,1.5,0.5,1.5,0.25
737,5,2,10,187,0.3,0.4,0.4,1.111111,0.777778,10,0
738,16,13,34,452,0.852941,0.470588,0,1.416667,0.833333,8.5,0.208333
739,35,37,47,58,0.93617,0.106383,0.042553,1.342857,0.028571,9.4,0.220339
740,6,3,5,49,0.6,0.4,0.2,1,0.6,1.25,0
741,1,1,10,74,0.1,0,0.1,2,1,5,1
742,29,30,41,138,0.536585,0.463415,0.073171,1.863636,0.227273,5.857143,0.311111
743,19,20,26,45,0.5,0.153846,0.230769,1.733333,0.133333,5.2,0.21875
744,42,49,63,77,1.396825,0.349206,0,1.657895,0.131579,10.5,0.28169
745,1,1,3,28,0.666667,0,0,3,1,3,1
746,72,61,115,42,0.73913,0.304348,0.052174,1.575342,0.178082,38.333333,0.33
747,2,2,2,11,0.5,0,0,1,0,1,0
748,59,69,116,75,0.362069,0.077586,0.034483,1.234043,0.202128,10.545455,0.292929
749,84,98,241,219,1.26556,0.369295,0.037344,2.939024,0.036585,18.538462,0.4
750,16,8,26,98,0.038462,0.538462,0.076923,1.733333,0.8,6.5,0.263158
751,3,2,5,211,0.2,0.6,0.4,5,0,5,0.666667
752,142,141,343,100,0.620991,0.174927,0.020408,1.595349,0.074419,20.176471,0.451282
753,52,49,65,165,0.830769,0.276923,0.015385,1.354167,0.125,8.125,0.174419
754,16,22,23,160,0.565217,0.565217,0,1.352941,0,11.5,0.225806
755,1,0,1,18,1,0,0,1,1,1,0
756,104,110,216,62,1.861111,0.226852,0.023148,1.674419,0.046512,14.4,0.426667
757,5,5,4,13,0.5,0,0,1,0,2,0.111111
758,10,12,14,312,1.214286,0.642857,0.142857,2.333333,0.166667,7,0.222222
759,2,2,9,93,0.111111,0,0.555556,1.125,0.75,1.8,0
760,23,19,27,145,2.259259,0.148148,0,1.173913,0.086957,4.5,0.2
761,284,279,1450,52,1.504828,0.231724,0.021379,2.33119,0.09164,80.555556,0.622478
762,44,49,69,373,0.942029,0.362319,0.014493,2.090909,0,9.857143,0.367647
763,1,2,2,10,0,0,0,1,0,1,0
764,2,3,4,26,0,0,0,1,0,2,0
765,39,39,47,108,1.255319,0.276596,0.021277,1.424242,0.181818,4.7,0.2
766,25,18,29,23,0.448276,0.413793,0,3.625,0,9.666667,0.30303
767,9,11,10,150,0.7,0.4,0.1,1.666667,0,5,0.111111
768,1,1,1,103,0,0,0,1,0,1,1
769,0,1,1,49,0,1,0,1,0,1,0
770,5,3,4,125,0,0,0,1,0,4,0.142857
771,38,20,109,179,0.743119,0.119266,0.055046,1.238636,0.931818,21.8,0.183673
772,6,7,12,98,0.916667,0.25,0.083333,1.2,0.4,2.4,0.083333
773,19,16,26,126,0.807692,0.115385,0.153846,1.529412,0.294118,4.333333,0.25
774,2,1,1,6,2,0,0,1,0,1,0
775,12,9,16,70,0.6875,0.25,0.0625,1.230769,0.230769,2.285714,0.166667
776,56,56,96,94,1.125,0.260417,0.03125,1.315068,0.191781,8,0.302326
